V1	V2	weight
75	85	0.17
75	88	0.25
75	89	0.56
75	92	0.85
75	99	0.99
75	100	0.92
76	77	0.21
76	78	0.68
76	79	0.90
76	80	0.45
76	83	0.93
76	84	0.60
76	85	0.06
76	92	0.70
76	93	0.61
77	78	0.53
77	83	0.49
77	84	0.21
77	85	0.71
77	87	0.20
80	85	0.15
80	92	0.22
80	101	0.14
82	85	0.24
82	87	0.81
82	98	0.31
83	85	0.63
84	85	0.60
84	88	0.13
84	101	0.52
85	87	0.72
85	88	0.80
85	89	0.65
85	90	0.06
85	95	0.39
85	97	0.75
85	98	0.70
85	100	0.69
85	101	0.56
85	102	0.24
87	90	0.57
87	94	0.42
87	98	0.86
87	101	0.15
87	102	0.92
88	99	0.76
89	90	0.83
91	92	0.74
91	100	0.18
92	99	0.31
92	101	0.39
94	95	0.87
94	100	0.23
94	103	0.61
95	96	0.62
95	97	0.04
95	102	0.09
95	103	0.62
96	103	0.37
97	98	0.95
97	101	0.93
99	101	0.67
100	101	0.92
101	102	0.64
104	105	0.21
